Date, Open, High, Low, Close, Volume
05/16/25, 882440, 882440, 882440, 882440, 46
05/15/25, 886100, 895000, 881000, 888000, 185
05/14/25, 895000, 895000, 884140, 886200, 374
05/13/25, 880000, 899680, 880000, 899680, 638
05/12/25, 872900, 891780, 872900, 889000, 756
05/09/25, 850860, 850860, 839120, 840740, 255
05/08/25, 837060, 837060, 837060, 837060, 153
05/07/25, 861720, 861720, 834000, 834000, 1127
05/06/25, 861720, 861720, 861720, 861720, 102
05/05/25, 868000, 868000, 848900, 862300, 343
05/02/25, 860200, 878000, 858000, 868000, 1505
04/30/25, 887620, 892000, 887620, 892000, 95
04/29/25, 890000, 890000, 879640, 879640, 755
04/28/25, 889980, 892000, 885000, 885000, 141
04/25/25, 878160, 883900, 878020, 883900, 217
04/24/25, 876300, 885000, 876300, 885000, 213
04/23/25, 882180, 895000, 876300, 876300, 299
04/22/25, 846900, 858000, 846900, 858000, 289
04/21/25, 821380, 821380, 815860, 815860, 132
04/16/25, 854000, 854000, 832500, 834960, 695
04/15/25, 878300, 885200, 875100, 878940, 135
04/14/25, 902800, 902800, 869980, 879460, 838
04/11/25, 812000, 863000, 812000, 848960, 730
04/10/25, 835680, 835680, 829000, 835020, 293
04/09/25, 775000, 860920, 775000, 860920, 1225
04/08/25, 810420, 823000, 760000, 760000, 682
04/07/25, 805140, 830000, 800000, 800000, 275
04/04/25, 829460, 842720, 820000, 820000, 703
04/03/25, 850760, 855000, 840220, 840220, 759
04/02/25, 930460, 931340, 925960, 931340, 89
04/01/25, 915360, 930000, 915360, 915360, 31
03/31/25, 908340, 918660, 908340, 915360, 79
03/28/25, 935660, 970000, 910000, 935660, 46
03/27/25, 918760, 935660, 917260, 935660, 108
03/26/25, 979660, 979660, 979660, 979660, 64
03/25/25, 914980, 916000, 913620, 913620, 87
03/21/25, 889000, 914900, 870000, 889000, 37
03/20/25, 891120, 891120, 889000, 889000, 129
03/19/25, 895500, 896760, 891120, 891120, 163
03/18/25, 879480, 882960, 873520, 873520, 144
03/17/25, 875880, 875880, 869000, 869000, 131
03/14/25, 872520, 878740, 863220, 878740, 161
03/13/25, 886980, 886980, 850000, 886980, 93
03/12/25, 908000, 911000, 885580, 886980, 924
03/11/25, 932000, 932000, 932000, 932000, 257
03/10/25, 951000, 952620, 941860, 942680, 135
03/07/25, 981840, 981840, 981840, 981840, 226
03/06/25, 969300, 969300, 969300, 969300, 51
03/05/25, 995100, 995100, 995100, 995100, 25
